Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51187948,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,"Larson, Erik",,,,0,4.3,Crown,Kindle Edition,546,2020,2020,,9/11/21,,,read,,,,1,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,0142001619,9780142001615,0,3.75,Penguin Books,Paperback,484,2003,2002,,6/8/22,,,read,,,,1,0
53251868,"The Road from Raqqa: A Story of Brotherhood, Borders, and Belonging",Jordan Ritter Conn,"Conn, Jordan Ritter",,1984817183,9781984817181,0,4.56,Ballantine Books,Hardcover,272,2020,2020,,9/12/21,,,read,,,,1,0
37486540,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",Beth Macy,"Macy, Beth",,0316523178,9780316523172,0,4.08,"Little, Brown and Company",Hardcover,384,2018,2018,,5/30/20,,,read,,,,1,0
54900051,Madhouse at the End of the Earth,Julian Sancton,"Sancton, Julian",,1984824333,9781984824332,0,4.27,Crown,Hardcover,354,2021,2021,,12/18/21,,,read,,,,1,0
14894629,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,"Baptist, Edward E.",,046500296X,9780465002962,5,4.46,Basic Books,Hardcover,498,2014,2013,,9/12/21,,,read,,,,1,0
397483,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Larson, Erik",,0609608444,9780609608449,0,4,Crown Publishers,Hardcover,447,2003,2003,,9/11/21,,,read,,,,1,0
9553383,A History of the World in 100 Objects,Neil MacGregor,"MacGregor, Neil",,1846144132,9781846144134,0,4.2,Allen Lane,Hardcover,707,2010,2010,,5/29/21,,,read,,,,1,0
6178648,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,0385523904,9780385523905,0,4.45,Spiegel & Grau,Hardcover,316,2009,2009,,6/8/21,,,read,,,,1,0
22551730,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"Larson, Erik",,0307408868,9780307408860,0,4.12,Crown Publishers,Hardcover,430,2015,2015,,5/29/21,,,read,,,,1,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,0525572422,9780525572428,4,4.09,Crown Currency,Hardcover,287,2018,2018,5/29/21,5/22/21,productivity,productivity (#1),read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,0739467352,9780739467350,0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,5/29/21,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,0374275637,9780374275631,0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,5/29/21,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,,,5,4.36,Vintage,Paperback,512,2015,2011,,8/16/16,,,read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,0,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,,11/5/17,,,read,,,,1,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,,,0,4.18,Random House,Kindle Edition,658,2009,1962,,1/18/21,,,read,,,,1,0
